ts	t	V	θ	ω
16:28:26	332486	1.91	-41.16	0.0
16:28:26	332523	1.91	-41.16	0.0
16:28:26	332560	1.91	-41.16	0.0
16:28:26	332597	1.92	-39.59	42.43
16:28:26	332634	1.92	-39.59	0.0
16:28:26	332672	1.92	-39.59	0.0
16:28:26	332710	1.92	-39.59	0.0
16:28:26	332747	1.92	-39.59	0.0
16:28:26	332785	1.92	-39.59	0.0
16:28:26	332822	1.92	-39.59	0.0
16:28:26	332860	1.92	-39.59	0.0
16:28:26	332898	1.92	-39.59	0.0
16:28:26	332936	1.92	-39.59	0.0
16:28:26	332974	1.92	-39.59	0.0
16:28:26	333012	1.92	-39.59	0.0
16:28:26	333050	1.92	-39.59	0.0
16:28:26	333088	1.92	-39.59	0.0
16:28:26	333126	1.92	-39.59	0.0
16:28:26	333165	1.92	-39.59	0.0
16:28:26	333202	1.92	-39.59	0.0
16:28:26	333240	1.92	-39.59	0.0
16:28:27	333278	1.92	-39.59	0.0
16:28:27	333316	1.92	-39.59	0.0
16:28:27	333353	1.92	-39.59	0.0
16:28:27	333390	1.91	-41.16	-42.43
16:28:27	333428	1.91	-41.16	0.0
16:28:27	333465	1.91	-41.16	0.0
16:28:27	333502	1.91	-41.16	0.0
16:28:27	333539	1.91	-41.16	0.0
16:28:27	333577	1.91	-41.16	0.0
16:28:27	333615	1.91	-41.16	0.0
