ts	t	V	θ	ω
16:28:27	333728	1.95	7.93	130.0
16:28:27	333765	1.97	11.23	89.19
16:28:27	333802	2.0	16.33	137.84
16:28:27	333839	2.03	21.61	142.7
16:28:27	333876	2.07	28.95	198.38
16:28:27	333914	2.1	34.7	151.32
16:28:27	333951	2.13	40.67	161.35
16:28:27	333988	2.17	48.99	224.86
16:28:27	334025	2.19	53.31	116.76
16:28:27	334062	2.21	57.75	120.0
16:28:27	334099	2.22	60.02	61.35
16:28:27	334136	2.23	62.32	62.16
16:28:27	334173	2.23	62.32	0.0
16:28:27	334210	2.22	60.02	-62.16
16:28:27	334248	2.22	60.02	0.0
16:28:28	334286	2.21	57.75	-59.74
16:28:28	334324	2.2	55.52	-58.68
16:28:28	334362	2.18	51.14	-115.26
16:28:28	334400	2.16	46.87	-112.37
16:28:28	334438	2.13	40.67	-163.16
16:28:28	334476	2.11	36.66	-105.53
16:28:28	334514	2.09	32.76	-102.63
16:28:28	334551	2.07	28.95	-102.97
16:28:28	334589	2.04	23.41	-145.79
16:28:28	334626	2.02	19.83	-96.76
16:28:28	334664	2.0	16.33	-92.11
16:28:28	334702	1.99	14.61	-45.26
16:28:28	334740	1.97	11.23	-88.95
16:28:28	334777	1.96	9.57	-44.86
16:28:28	334814	1.95	7.93	-44.32
16:28:28	334852	1.94	6.31	-42.63

16:28:28	334967	1.95	7.93	85.0
16:28:28	335005	1.96	9.57	43.16
16:28:28	335043	1.99	14.61	132.63
16:28:28	335081	2.02	19.83	137.37
16:28:28	335118	2.05	25.24	146.22
16:28:28	335156	2.08	30.84	147.37
16:28:28	335193	2.12	38.65	211.08
16:28:28	335230	2.16	46.87	222.16
16:28:28	335268	2.19	53.31	169.47
16:28:29	335305	2.21	57.75	120.0
16:28:29	335342	2.22	60.02	61.35
16:28:29	335380	2.21	57.75	-59.74
16:28:29	335418	2.18	51.14	-173.95
16:28:29	335456	2.14	42.71	-221.84
16:28:29	335494	2.11	36.66	-159.21
16:28:29	335532	2.08	30.84	-153.16
16:28:29	335570	2.04	23.41	-195.53
16:28:29	335609	2.0	16.33	-181.54
16:28:29	335647	1.96	9.57	-177.89

16:28:29	335834	1.97	11.23	171.84
16:28:29	335872	2.0	16.33	134.21
16:28:29	335910	2.04	23.41	186.32
16:28:29	335949	2.08	30.84	190.51
16:28:30	336622	2.11	36.66	8.65
16:28:30	336659	2.14	42.71	163.51
16:28:30	336696	2.18	51.14	227.84
16:28:30	336733	2.23	62.32	302.16
16:28:30	336771	2.24	64.65	61.32
16:28:30	336809	2.24	64.65	0.0
16:28:30	336847	2.24	64.65	0.0
16:28:30	336885	2.24	64.65	0.0
16:28:30	336923	2.23	62.32	-61.32
16:28:30	336961	2.22	60.02	-60.53
16:28:30	336999	2.22	60.02	0.0
16:28:30	337037	2.18	51.14	-233.68
16:28:30	337075	2.15	44.77	-167.63
16:28:30	337113	2.11	36.66	-213.42
16:28:30	337151	2.07	28.95	-202.89
16:28:30	337189	2.03	21.61	-193.16
16:28:30	337227	1.98	12.91	-228.95

16:28:31	337455	1.96	9.57	169.74
16:28:31	337493	2.0	16.33	177.89
16:28:31	337530	2.03	21.61	142.7
16:28:31	337567	2.08	30.84	249.46
16:28:31	337605	2.12	38.65	205.53
16:28:31	337643	2.16	46.87	216.32
16:28:31	337681	2.2	55.52	227.63
16:28:31	337719	2.21	57.75	58.68
16:28:31	337756	2.19	53.31	-120.0
16:28:31	337793	2.16	46.87	-174.05
16:28:31	337830	2.12	38.65	-222.16
16:28:31	337867	2.08	30.84	-211.08
16:28:31	337904	2.04	23.41	-200.81
16:28:31	337942	1.99	14.61	-231.58
16:28:31	337980	1.95	7.93	-175.79

16:28:31	338131	1.95	7.93	87.3
16:28:31	338169	1.98	12.91	131.05
16:28:31	338207	2.02	19.83	182.11
16:28:31	338245	2.06	27.08	190.79
16:28:32	338283	2.1	34.7	200.53
16:28:32	338321	2.15	44.77	265.0
16:28:32	338359	2.19	53.31	224.74
16:28:32	338397	2.21	57.75	116.84
16:28:32	338435	2.18	51.14	-173.95
16:28:32	338473	2.14	42.71	-221.84
16:28:32	338511	2.1	34.7	-210.79
16:28:32	338549	2.06	27.08	-200.53
16:28:32	338586	2.01	18.07	-243.51
16:28:32	338624	1.96	9.57	-223.68

16:28:32	338921	1.95	7.93	172.43
16:28:32	338958	2.0	16.33	227.03
16:28:32	338996	2.04	23.41	186.32
16:28:32	339033	2.09	32.76	252.7
16:28:32	339070	2.13	40.67	213.78
16:28:32	339107	2.17	48.99	224.86
16:28:32	339144	2.18	51.14	58.11
16:28:32	339181	2.17	48.99	-58.11
16:28:32	339218	2.14	42.71	-169.73
16:28:32	339255	2.1	34.7	-216.49
16:28:33	339293	2.06	27.08	-200.53
16:28:33	339331	2.01	18.07	-237.11
16:28:33	339369	1.97	11.23	-180.0

16:28:33	339747	1.97	11.23	171.84
16:28:33	339784	2.01	18.07	184.86
16:28:33	339821	2.06	27.08	243.51
16:28:33	339859	2.1	34.7	200.53
16:28:33	339897	2.14	42.71	210.79
16:28:33	339935	2.16	46.87	109.47
16:28:33	339973	2.15	44.77	-55.26
16:28:33	340011	2.12	38.65	-161.05
16:28:33	340049	2.09	32.76	-155.0
16:28:33	340087	2.05	25.24	-197.89
16:28:33	340125	2.01	18.07	-188.68
16:28:33	340163	1.96	9.57	-223.68

16:28:34	341099	1.95	7.93	167.89
16:28:34	341136	2.0	16.33	227.03
16:28:34	341174	2.04	23.41	186.32
16:28:34	341211	2.08	30.84	200.81
16:28:34	341248	2.12	38.65	211.08
16:28:35	341285	2.15	44.77	165.41
16:28:35	341322	2.14	42.71	-55.68
16:28:35	341359	2.11	36.66	-163.51
16:28:35	341396	2.07	28.95	-208.38
16:28:35	341433	2.02	19.83	-246.49
16:28:35	341470	1.97	11.23	-232.43

16:28:35	341729	1.97	11.23	176.49
16:28:35	341767	2.02	19.83	226.32
16:28:35	341805	2.06	27.08	190.79
16:28:35	341842	2.1	34.7	205.95
16:28:35	341880	2.15	44.77	265.0
16:28:35	341918	2.19	53.31	224.74
16:28:35	341956	2.19	53.31	0.0
16:28:35	341994	2.18	51.14	-57.11
16:28:35	342032	2.16	46.87	-112.37
16:28:35	342070	2.13	40.67	-163.16
16:28:35	342109	2.1	34.7	-153.08
16:28:35	342146	2.06	27.08	-205.95
16:28:35	342183	2.02	19.83	-195.95
16:28:35	342220	1.97	11.23	-232.43

16:28:36	342590	1.96	9.57	174.32
16:28:36	342627	1.99	14.61	136.22
16:28:36	342664	2.01	18.07	93.51
16:28:36	342701	2.04	23.41	144.32
16:28:36	342738	2.05	25.24	49.46
16:28:36	342775	2.03	21.61	-98.11
16:28:36	342812	1.99	14.61	-189.19
16:28:36	342849	1.96	9.57	-136.22

16:28:36	343185	1.96	9.57	174.32
16:28:36	343223	2.0	16.33	177.89
16:28:36	343261	2.04	23.41	186.32
16:28:37	343299	2.08	30.84	195.53
16:28:37	343337	2.1	34.7	101.58
16:28:37	343375	2.09	32.76	-51.05
16:28:37	343412	2.05	25.24	-203.24
16:28:37	343449	2.01	18.07	-193.78
16:28:37	343486	1.96	9.57	-229.73

16:28:37	343784	1.95	7.93	172.43
16:28:37	343821	1.99	14.61	180.54
16:28:37	343858	2.03	21.61	189.19
16:28:37	343895	2.05	25.24	98.11
16:28:37	343932	2.07	28.95	100.27
16:28:37	343969	2.04	23.41	-149.73
16:28:37	344006	2.01	18.07	-144.32
16:28:37	344043	1.97	11.23	-184.86

16:28:38	344381	1.96	9.57	169.74
16:28:38	344419	2.0	16.33	177.89
16:28:38	344457	2.03	21.61	138.95
16:28:38	344495	2.05	25.24	95.53
16:28:38	344533	2.05	25.24	0.0
16:28:38	344571	2.01	18.07	-188.68
16:28:38	344608	1.97	11.23	-184.86

16:28:39	345620	1.96	9.57	128.16
16:28:39	345657	1.98	12.91	90.27
16:28:39	345694	2.0	16.33	92.43
16:28:39	345731	2.0	16.33	0.0
16:28:39	345768	1.98	12.91	-92.43
16:28:39	345806	1.95	7.93	-131.05

16:28:39	346069	1.95	7.93	85.0
16:28:39	346107	1.98	12.91	131.05
16:28:39	346145	2.02	19.83	182.11
16:28:39	346182	2.05	25.24	146.22
16:28:39	346219	2.08	30.84	151.35
16:28:39	346256	2.09	32.76	51.89
16:28:40	346293	2.09	32.76	0.0
16:28:40	346330	2.07	28.95	-102.97
16:28:40	346367	2.02	19.83	-246.49
16:28:40	346404	1.98	12.91	-187.03
16:28:40	346441	1.94	6.31	-178.38

16:28:40	346626	1.94	6.31	86.22
16:28:40	346663	1.97	11.23	132.97
16:28:40	346700	2.01	18.07	184.86
16:28:40	346738	2.03	21.61	93.16
16:28:40	346775	2.05	25.24	98.11
16:28:40	346812	2.05	25.24	0.0
16:28:40	346849	2.03	21.61	-98.11
16:28:40	346886	1.99	14.61	-189.19
16:28:40	346924	1.95	7.93	-175.79
16:28:40	346962	1.94	6.31	-42.63
16:28:40	347000	1.94	6.31	0.0

16:28:40	347075	1.94	6.31	42.37
16:28:40	347113	1.95	7.93	42.63
16:28:40	347150	1.98	12.91	134.59
16:28:40	347188	2.01	18.07	135.79
16:28:40	347226	2.04	23.41	140.53
16:28:40	347264	2.05	25.24	48.16
16:28:41	347302	2.05	25.24	0.0
16:28:41	347340	2.01	18.07	-188.68
16:28:41	347378	1.96	9.57	-223.68

16:28:41	347454	1.94	6.31	42.37

16:28:41	347568	1.94	6.31	42.37
16:28:41	347605	1.95	7.93	43.78
16:28:41	347642	1.98	12.91	134.59
16:28:41	347680	2.01	18.07	135.79
16:28:41	347718	2.02	19.83	46.32
16:28:41	347755	2.02	19.83	0.0
16:28:41	347793	2.01	18.07	-46.32
16:28:41	347831	1.96	9.57	-223.68
16:28:41	347868	1.96	9.57	0.0
16:28:41	347905	1.96	9.57	0.0
16:28:41	347942	1.96	9.57	0.0
16:28:41	347981	1.96	9.57	0.0
16:28:41	348018	1.96	9.57	0.0
16:28:41	348056	1.98	12.91	87.89
16:28:41	348094	2.0	16.33	90.0
16:28:41	348132	2.02	19.83	92.11
16:28:41	348169	2.03	21.61	48.11
16:28:41	348207	2.03	21.61	0.0
16:28:41	348245	1.99	14.61	-184.21
16:28:41	348283	1.96	9.57	-132.63
16:28:42	348320	1.97	11.23	44.86
16:28:42	348357	1.97	11.23	0.0
16:28:42	348394	1.97	11.23	0.0
16:28:42	348431	1.97	11.23	0.0
16:28:42	348468	1.98	12.91	45.41
16:28:42	348505	2.0	16.33	92.43
16:28:42	348543	2.03	21.61	138.95
16:28:42	348580	2.05	25.24	98.11
16:28:42	348617	2.05	25.24	0.0
16:28:42	348654	2.03	21.61	-98.11
16:28:42	348691	1.99	14.61	-189.19
16:28:42	348728	1.97	11.23	-91.35
16:28:42	348765	1.97	11.23	0.0
16:28:42	348802	1.97	11.23	0.0
16:28:42	348839	1.97	11.23	0.0
16:28:42	348876	1.97	11.23	0.0
16:28:42	348913	1.98	12.91	45.41
16:28:42	348950	2.0	16.33	92.43
16:28:42	348987	2.02	19.83	94.59
16:28:42	349024	2.03	21.61	48.11
16:28:42	349061	2.03	21.61	0.0
16:28:42	349098	2.01	18.07	-95.68
16:28:43	349822	2.0	16.33	-2.4
16:28:43	349860	1.98	12.91	-90.0
16:28:43	349898	1.95	7.93	-131.05

16:28:43	350123	1.95	7.93	167.89
16:28:43	350161	1.99	14.61	175.79
16:28:43	350199	1.99	14.61	0.0
16:28:43	350237	2.01	18.07	91.05
16:28:43	350275	2.02	19.83	46.32
16:28:44	350313	2.03	21.61	46.84
16:28:44	350350	2.03	21.61	0.0
16:28:44	350387	2.01	18.07	-95.68
16:28:44	350424	1.98	12.91	-139.46
16:28:44	350462	1.97	11.23	-44.21
16:28:44	350500	1.97	11.23	0.0
16:28:44	350538	1.97	11.23	0.0
16:28:44	350576	1.97	11.23	0.0
16:28:44	350614	1.98	12.91	44.21
16:28:44	350652	1.99	14.61	44.74
16:28:44	350690	2.02	19.83	137.37
16:28:44	350728	2.03	21.61	46.84
16:28:44	350766	2.03	21.61	0.0
16:28:44	350803	2.03	21.61	0.0
16:28:44	350841	2.0	16.33	-138.95
16:28:44	350878	1.97	11.23	-137.84
16:28:44	350916	1.98	12.91	44.21
16:28:44	350954	1.98	12.91	0.0
16:28:44	350991	1.98	12.91	0.0
16:28:44	351028	1.98	12.91	0.0
16:28:44	351065	1.98	12.91	0.0
16:28:44	351102	1.99	14.61	45.95
16:28:44	351139	2.0	16.33	46.49
16:28:44	351176	2.01	18.07	47.03
16:28:44	351213	2.01	18.07	0.0
16:28:44	351250	2.01	18.07	0.0
16:28:45	351287	2.0	16.33	-47.03
16:28:45	351324	2.0	16.33	0.0
16:28:45	351361	2.0	16.33	0.0
16:28:45	351398	2.0	16.33	0.0
16:28:45	351435	2.01	18.07	47.03
16:28:45	351472	2.01	18.07	0.0
16:28:45	351509	2.01	18.07	0.0
16:28:45	351546	2.02	19.83	47.57
16:28:45	351583	2.03	21.61	48.11
16:28:45	351620	2.03	21.61	0.0
16:28:45	351658	2.03	21.61	0.0
16:28:45	351696	2.02	19.83	-46.84
